airline_sentiment,text
neutral,dhepburn say
positive,plus youve added commercial experience tacky
neutral,didnt today must mean need take another trip
negative,really aggressive blast obnoxious entertainment guest face amp little recourse
negative,really big bad thing
negative,seriously would pay flight seat didnt play really bad thing fly va
positive,yes nearly every time fly vx ear worm wont go away
neutral,really miss prime opportunity men without hat parody httpstcomwpggrezp
positive,well didntbut
positive,amaze arrive hour early youre good
neutral,know suicide second leading cause death among teen
positive,lt pretty graphic much good minimal iconography
positive,great deal already think nd trip australia amp havent even go st trip yet p
positive,virginmedia im fly fabulous seductive sky u take stress away travel httptcoahlxhhkiyn
positive,thanks
negative,sfopdx schedule still mia
positive,excited first cross country flight lax mco ive heard nothing great thing virgin america daystogo
negative,fly nyc sfo last week couldnt fully sit seat due two large gentleman either side help
positive,fly virginamerica smilingface thumbsup
positive,know would amazingly awesome bosfll please want fly
negative,first fare may three time carrier seat available select
positive,love graphic httptcoutgrrwaaa
positive,love hipster innovation feel good brand
neutral,make bosgtlas non stop permanently anytime soon
negative,guy mess seating reserve seat friend guy give seat away poutingface want free internet
negative,status match program apply three week call email response
negative,happen ur vegan food option least say ur site know wont able eat anything next hr fail
neutral,miss dont worry well together soon
negative,amaze cant get cold air vent vx noair worstflightever roast sfotobos
neutral,lax ewr middle seat red eye noob maneuver sendambien andchexmix
negative,hi bked cool birthday trip cant add elevate cause enter middle name flight book problem cryingface
neutral,hour operation club sfo post online current
negative,help leave expensive headphone flight iad lax today seat one answer lampf number lax
negative,await return phone call would prefer use online selfservice option
positive,great news america could start flight hawaii end year httptcorpzyfe via pacificbiznews
neutral,rt virginamerica vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperience httptcoyounxtqp
positive,moodlighting way fly best experience ever cool calm purpleheart airplane moodlitmonday
positive,freddieawards do do best airline around hand
neutral,book flight hawaii
negative,chat support work site httptcovhpgtdwpk
positive,view downtown los angeles hollywood sign beyond rain mountain httptcodwnfibtr
negative,hey first time flyer next week excite im hard time get flight add elevate account help
neutral,plz help win bid upgrade flight laxgtsea wineglass thumbsup seat airplane
neutral,unused ticket move new city dont fly fly expire travelhelp
neutral,flight leave dallas seattle time feb
positive,im elevategold good reason rock
neutral,dream httptcooadrfaoq httptcolwwdackhx
